fips,state,year,sex,sex_cat,age,age_cat,hf_ageadjusted,hf_count,hf_rate,hf_ll,hf_ul,hf_attrib,stroke_ageadjusted,stroke_count,stroke_rate,stroke_ll,stroke_ul,mi_ageadjusted,mi_count,mi_rate,mi_ll,mi_ul,mi_attrib,lea_ageadjusted,lea_count,lea_rate,lea_ll,lea_ul,lea_attrib,hypogl_ageadjusted,hypogl_count,hypogl_rate,hypogl_ll,hypogl_ul,hhns_ageadjusted,hhns_count,hhns_rate,hhns_ll,hhns_ul,dka_ageadjusted,dka_count,dka_rate,dka_ll,dka_ul
38,NORTH DAKOTA,2014,0,Overall,1,18-44,,24,4.139787851,2.623345322235639,5.656230379823227,10,,22,3.79480553,2.404733212,5.184877848,,43,7.4171199,4.700160369,10.13407943,30,,42,7.244628739301508,4.590854314,9.898403165,30,,22,3.79480553,2.404733212,5.184877848,,22,3.79480553,2.404733212,5.184877848,,276,47.60756029,30.16847121,65.04664937
38,NORTH DAKOTA,2014,0,Overall,2,45-64,,159,6.998555308,6.031096795753581,7.966013821240556,110,,171,7.526748162,6.486273912,8.567222412,,256,11.26811421,9.710445155,12.82578326,50,,173,7.614780304213791,6.562136765,8.667423843,160,,25,1.100401778,0.94828566,1.252517896,,22,0.968353565,0.834491381,1.102215749,,62,2.72899641,2.351748436,3.106244383
38,NORTH DAKOTA,2014,0,Overall,3,65-74,,186,15.51621227,13.06618762882183,17.96623691856607,100,,167,13.93122285,11.73146954,16.13097616,,203,16.93436071,14.26040908,19.60831234,40,,57,4.754968277422338,4.004154273,5.505782281,50,,21,1.751830418,1.475214732,2.028446104,,,,,,,,,,
38,NORTH DAKOTA,2014,0,Overall,4,75+,,407,43.67645632,35.61137118737183,51.74154145257566,150,,225,24.14546111,19.68687596,28.60404626,,255,27.36485593,22.31179276,32.41791909,30,,61,6.546102789971494,5.337330817,7.754874763,40,,22,2.360889531,1.924938983,2.796840079,,,,,,,,,,
38,NORTH DAKOTA,2014,0,Overall,6,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1.032573796,0.909018283,1.15612931,,22,1.032573796,0.909018283,1.15612931
38,NORTH DAKOTA,2014,1,Males,0,18+,9.2,427,15.1744335,13.23264743768323,17.11621956490894,190,8.1,356,12.65128414,11.03237117,14.27019711,12.1,475,16.88022462,14.72015816,19.04029109,40,9.3,242,8.600030227900826,7.499533208,9.700527248,220,2.5,46,1.63471649,1.425531106,1.843901874,2.3,33,1.172731395,1.022663619,1.32279917,26.5,189,6.716552533,5.857073456,7.576031611
38,NORTH DAKOTA,2014,1,Males,1,18-44,,11,3.476069949,1.783503815491513,5.168636081640997,0,,11,3.476069949,1.783503815,5.168636082,,23,7.268146256,3.729144341,10.80714817,10,,31,9.796197127777628,5.026238025,14.56615623,30,,11,3.476069949,1.783503815,5.168636082,,11,3.476069949,1.783503815,5.168636082,,154,48.66497928,24.96905342,72.36090514
38,NORTH DAKOTA,2014,1,Males,2,45-64,,99,7.428496041,5.983444361343777,8.873547721512248,70,,124,9.30437888,7.49441516,11.1143426,,167,12.53089736,10.09328493,14.96850979,0,,122,9.154308253072905,7.373537496,10.93507901,110,,14,1.05049439,0.846143647,1.254845132,,11,0.825388449,0.664827151,0.985949747,,24,1.800847525,1.450531966,2.151163084
38,NORTH DAKOTA,2014,1,Males,3,65-74,,115,15.85078232,12.46494454434427,19.23662009213426,60,,99,13.64545608,10.73069139,16.56022077,,125,17.22911122,13.54885277,20.90936967,0,,46,6.340312927295706,4.985977818,7.694648037,40,,10,1.378328897,1.083908221,1.672749573,,,,,,,,,,
38,NORTH DAKOTA,2014,1,Males,4,75+,,202,45.98515491,32.91068392505743,59.05962588852651,60,,122,27.77321237,19.8767497,35.66967504,,160,36.42388507,26.06786846,46.77990169,30,,43,9.788919113822052,7.005739647,12.57209858,30,,11,2.504142099,1.792165956,3.216118241,,,,,,,,,,
